T_g_190,s_m_190,New Temp,Humidity,
12,0.148,32,50,1
12,0.14,32,50,1
12,0.148,32,50,1
12,0.148,32,50,1
12,0.14,32,50,1
12,0.145,32,50,1
12,0.145,32,50,1
12,0.148,32,50,1
12,0.145,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.142,32,50,1
12,0.139,32,50,1
12,0.141,32,50,1
12,0.136,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.144,32,50,1
12,0.145,32,50,1
12,0.146,32,50,1
12,0.146,32,50,1
12,0.146,32,50,1
12,0.142,32,50,1
12,0.142,32,50,1
12,0.149,32,50,1
12,0.147,32,50,1
12,0.145,32,50,1
12,0.145,32,50,1
12,0.145,32,50,1
12,0.142,32,50,1
12,0.145,32,50,1
12,0.142,32,50,1
12,0.143,32,50,1
12,0.139,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.138,32,50,1
12,0.138,32,50,1
12,0.143,32,50,1
12,0.14,32,50,1
12,0.145,32,50,1
12,0.138,32,50,1
12,0.144,32,50,1
12,0.143,32,50,1
12,0.148,32,50,1
12,0.136,32,50,1
12,0.143,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.146,32,50,1
12,0.146,32,50,1
12,0.139,32,50,1
12,0.146,32,50,1
12,0.139,32,50,1
12,0.139,32,50,1
12,0.139,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.139,32,50,1
12,0.134,32,50,1
12,0.136,32,50,1
12,0.144,32,50,1
12,0.141,32,50,1
12,0.14,32,50,1
12,0.145,32,50,1
12,0.148,32,50,1
12,0.143,32,50,1
12,0.141,32,50,1
12,0.144,32,50,1
12,0.146,32,50,1
12,0.144,32,50,1
12,0.137,32,50,1
12,0.144,32,50,1
12,0.142,32,50,1
12,0.144,32,50,1
12,0.144,32,50,1
12,0.142,32,50,1
12,0.142,32,50,1
12,0.142,32,50,1
12,0.144,32,50,1
12,0.142,32,50,1
12,0.144,32,50,1
12,0.142,32,50,1
12,0.139,32,50,1
12,0.144,32,50,1
